id, x, y, pos, rotation
33,0,2,5,0
62,0,2,2,90
31,0,3,5,270
68,0,3,2,0
39,0,4,5,0
63,0,4,2,90
41,0,5,5,270
67,0,5,2,0
28,1,2,7,0
58,1,3,0,270
119,1,4,7,90
60,1,5,0,270
72,2,4,5,0
51,2,4,4,90
71,2,5,3,270
53,2,5,2,0
65,3,0,4,90
30,3,0,7,0
9,3,1,2,0
52,3,4,6,180
70,3,4,7,90
49,3,5,0,270
78,3,5,1,180
38,3,8,5,0
1,3,9,3,270
64,3,9,0,0
61,4,0,4,180
36,4,0,7,90
35,4,1,1,180
57,4,8,6,180
32,4,9,3,180
66,4,9,0,270
5,0,0,9,45
23,0,6,8,90
120,0,8,8,0
8,0,9,10,315
14,1,0,8,90
122,1,6,8,90
115,1,7,8,270
7,1,8,8,0
15,1,9,8,270
18,2,1,8,180
113,2,2,8,90
21,2,6,8,0
13,2,7,10,315
24,3,2,8,0
4,3,2,11,135
6,3,3,10,315
112,3,3,8,180
124,3,6,8,90
17,3,7,8,270
26,4,3,8,270
121,4,4,8,90
20,4,6,8,0
111,4,6,11,135
118,4,7,8,180
12,5,3,8,270
114,5,4,11,135
117,5,5,8,180
110,5,7,8,90
11,5,9,8,270
16,4,7,10,315
123,6,0,11,135
19,6,1,8,180
25,6,2,8,180
22,6,3,12,225
109,6,6,11,135
116,6,9,12,225
